wyear,wymon,calyear,calmon,stor,rch,run,aet,cwd,tmax,tmin,ppt,pet,exc
1920,4,1920,1,93.180000305,0,0,29.850000381,25.920000076,14.550000191,3.5899999142,13.319999695,55.930000305,\N
1920,5,1920,2,118.66999817,9.7399997711,1.3500000238,64.370002747,0.0299999993,19.450000763,4.0599999428,100.31999969,64.730003357,\N
1920,6,1920,3,137.08999634,28.170000076,28.399999619,94.650001526,0,26.200000763,4.9299998283,168.83000183,95.63999939,\N
1920,7,1920,4,93.559997559,0,0,69.25,54.869998932,22.11000061,6.3400001526,25.540000916,124.34999847,\N
1920,8,1920,5,92.940002441,0,0,9.3900003433,141.36000061,22.729999542,7.5399999619,8.7299995422,150.75999451,\N
1920,9,1920,6,92.940002441,0,0,0.6000000238,163.66999817,18.979999542,10.409999847,0.6000000238,164.25,\N
1920,10,1920,7,92.940002441,0,0,0.0099999998,177.38000488,15.869999886,10.539999962,0.0099999998,177.28999329,\N
1920,11,1920,8,92.940002441,0,0,0.1400000006,165.41999817,19.760000229,12.680000305,0.1400000006,165.47000122,\N
1920,12,1920,9,92.940002441,0,0,1.7699999809,126.20999908,24.909999847,10.31000042,1.7599999905,127.93000031,\N
1921,1,1920,10,92.940002441,0,0,23.569999695,72.629997253,26.63999939,6.9400000572,23.489999771,96.230003357,\N
1921,2,1920,11,92.940002441,0,0,25.709999084,38.86000061,20.340000153,5.9099998474,25.680000305,64.720001221,\N
1921,3,1920,12,92.959999084,0,0,36.419998169,13.779999733,16.620000839,4.9000000954,36.619998932,50.650001526,\N
1921,4,1921,1,140.32000732,24.829999924,9.4899997711,51.840000153,0,16.629999161,5.7600002289,133.88999939,52.810001373,\N
1921,5,1921,2,118.87999725,0.0299999993,0,63.740001678,0.7599999905,18.469999313,5.7600002289,42.61000061,65.069999695,\N
1921,6,1921,3,111.81999969,6.7399997711,0.7200000286,93.959999084,6.5399999619,25.629999161,4.8099999428,93.010002136,100.65000153,\N
1921,7,1921,4,92.980003357,0,0,31.100000381,92.410003662,24.299999237,5.1300001144,12.170000076,124.08999634,\N
1921,8,1921,5,94.480003357,0.1099999994,0,107.06999969,40.38999939,22.440000534,7.9200000763,107.58999634,147.52000427,\N
1921,9,1921,6,92.940002441,0,0,2.3599998951,162.16000366,20.020000458,10.859999657,0.8100000024,164.47000122,\N
1921,10,1921,7,92.940002441,0,0,0.2199999988,179.72000122,16.700000763,12.729999542,0.2199999988,179.88000488,\N
1921,11,1921,8,92.940002441,0,0,0.0299999993,164.25,22.370000839,12.640000343,0.0299999993,164.19999695,\N
1921,12,1921,9,92.940002441,0,0,8.9799995422,119.83999634,25.430000305,10.5,8.9899997711,128.77000427,\N
1922,1,1921,10,92.940002441,0,0,21.049999237,80.699996948,25.780000687,10.31000042,20.850000381,101.68000031,\N
1922,2,1921,11,92.940002441,0,0,4,63.380001068,17.969999313,6.9800000191,3.9800000191,67.370002747,\N
1922,3,1921,12,160.8999939,56.770000458,89.870002747,53.400001526,0,18.840000153,7.1799998283,265.36999512,53.409999847,\N
1922,4,1922,1,165.05000305,59.090000153,47.509998322,50.119998932,0,17.790000916,4.0199999809,162.91000366,52.459999084,\N
1922,5,1922,2,166.19999695,46.020000458,20.430000305,62.799999237,0,15.470000267,5.0300002098,129.77999878,63.38999939,\N
1922,6,1922,3,142.5,0.3899999857,0.150000006,94.349998474,0.9399999976,25.459999084,7.2100000381,71.209999084,96.089996338,\N
1922,7,1922,4,99.319999695,0,0,53.939998627,68.63999939,23.950000763,5.4899997711,10.649999619,123.05999756,\N
1922,8,1922,5,93.050003052,0,0,27.340000153,126.51999664,24.909999847,7.7899999619,20.829999924,153.86999512,\N
1922,9,1922,6,92.940002441,0,0,0.8799999952,166,18.930000305,9.8800001144,0.7699999809,166.82000732,\N
1922,10,1922,7,92.940002441,0,0,0.349999994,178.41000366,18.649999619,12.149999619,0.349999994,178.72999573,\N
1922,11,1922,8,92.940002441,0,0,0.0299999993,167.3999939,19.170000076,12.449999809,0.0299999993,167.33999634,\N
1922,12,1922,9,92.940002441,0,0,0.0199999996,132.86000061,27.129999161,12.31000042,0.0199999996,132.80999756,\N
1923,1,1922,10,92.940002441,0,0,12.930000305,86.61000061,28.190000534,8.3800001144,12.850000381,99.489997864,\N
1923,2,1922,11,96.900001526,0.2099999934,0,56.459999084,6.6999998093,22.030000687,4.7600002289,60.490001678,63.459999084,\N
1923,3,1922,12,144.88000488,29.920000076,24.909999847,52.709999084,0,17.340000153,7.5399999619,154.11999512,52.720001221,\N
1923,4,1923,1,144.91000366,13.789999962,0.5699999928,54.919998169,0,15.409999847,3.2000000477,68.930000305,55.13999939,\N
1923,5,1923,2,115.83000183,0.0299999993,0,60.599998474,2.1500000954,15.800000191,5.2899999619,32.029998779,63.979999542,\N
1923,6,1923,3,93.290000916,0,0,40.75,59.459999084,24.850000381,4.9899997711,17.989999771,100.73999786,\N
1923,7,1923,4,93.019996643,0,0,86.419998169,38.650001526,24.700000763,7.8800001144,85.709999084,125.15000153,\N
1923,8,1923,5,92.940002441,0,0,0.8600000143,154.19999695,21.420000076,8.1400003433,0.7900000215,155.05000305,\N
1923,9,1923,6,92.940002441,0,0,1.0800000429,157.02999878,18.020000458,7.9099998474,1.0700000525,158.08000183,\N
1923,10,1923,7,92.940002441,0,0,0.0399999991,175.16999817,16.909999847,10.529999733,0.0399999991,175.16000366,\N
1923,11,1923,8,92.940002441,0,0,0.5899999738,160.94000244,23.450000763,11.800000191,0.5899999738,161.46000671,\N
1923,12,1923,9,92.940002441,0,0,7.1199998856,123.37000275,25.559999466,11.800000191,7.0700001717,130.44000244,\N
1924,1,1923,10,92.940002441,0,0,14.479999542,85.870002747,24.709999084,8.4899997711,14.289999962,100.30999756,\N
1924,2,1923,11,92.940002441,0,0,10.470000267,57.970001221,22.420000076,7.3899998665,10.340000153,68.400001526,\N
1924,3,1923,12,92.940002441,0,0,17.819999695,32.909999847,18.590000153,4.1399998665,17.979999542,51.419998169,\N
1924,4,1924,1,92.940002441,0,0,20.940000534,30.350000381,17.629999161,5.0700001717,22.120000839,54.430000305,\N
1924,5,1924,2,92.970001221,0,0,15.840000153,53.189998627,17.920000076,3.7999999523,15.470000267,69.080001831,\N
1924,6,1924,3,115.44999695,12.609999657,4.5300002098,94.36000061,1.1200000048,24.579999924,4.9400000572,133.57000732,96.480003357,\N
1924,7,1924,4,93.129997253,0,0,58.770000458,68.720001221,21.190000534,7.9200000763,36.069999695,127.55000305,\N
1924,8,1924,5,92.940002441,0,0,0.7699999809,156.00999451,24.530000687,9.2299995422,0.5699999928,156.77000427,\N
1924,9,1924,6,92.940002441,0,0,0,165.61000061,19.709999084,9.4399995804,0,165.53999329,\N
1924,10,1924,7,92.940002441,0,0,0.0099999998,173.63999939,21,9.8400001526,0.0099999998,173.6000061,\N
1924,11,1924,8,92.940002441,0,0,0.0700000003,159.55999756,21.649999619,10.449999809,0.0700000003,159.57000732,\N
1924,12,1924,9,92.940002441,0,0,0.2899999917,129.05000305,26.350000381,10.020000458,0.2800000012,129.27000427,\N
1925,1,1924,10,92.940002441,0,0,25.5,70,24.780000687,7.1399998665,25.340000153,95.489997864,\N
1925,2,1924,11,92.940002441,0,0,35.020000458,30.680000305,22.430000305,5.4299998283,34.86000061,65.75,\N
1925,3,1924,12,96.050003052,0.0700000003,0,40.950000763,6.2100000381,16.059999466,3.2699999809,45.63999939,49.279998779,\N
1925,4,1925,1,94.88999939,0.0700000003,0,29.13999939,24.049999237,21.729999542,2.5899999142,28.36000061,54.470001221,\N
1925,5,1925,2,93.480003357,0.0199999996,0,38.86000061,26.989999771,19.329999924,6.3600001335,37.5,66.019996643,\N
1925,6,1925,3,93.61000061,0.1400000006,0,76.669998169,21.790000916,27.170000076,4.6599998474,76.980003357,98.910003662,\N
1925,7,1925,4,95.13999939,0.7599999905,0.0500000007,80.269996643,46.569999695,22.920000076,7.3699998856,81.370002747,126.91999817,\N
1925,8,1925,5,92.940002441,0,0,26.370000839,126.79000092,23.809999466,9.1899995804,24.129999161,153.16999817,\N
1925,9,1925,6,92.940002441,0,0,7.0700001717,159.30999756,19.799999237,10.659999847,7.0399999619,166.32000732,\N
1925,10,1925,7,92.940002441,0,0,0.75,181.91999817,17.569999695,12.93999958,0.75,182.63999939,\N
1925,11,1925,8,92.940002441,0,0,0.4300000072,162.63000488,21.520000458,11.460000038,0.4300000072,163.00999451,\N
1925,12,1925,9,92.940002441,0,0,0.1800000072,128.63000488,26.13999939,9.8000001907,0.1800000072,128.77999878,\N
1926,1,1925,10,92.940002441,0,0,22.090000153,77.269996643,26.11000061,9.2600002289,22.040000916,99.339996338,\N
1926,2,1925,11,92.940002441,0,0,23,43.759998322,20.180000305,7.0399999619,22.829999924,66.800003052,\N
1926,3,1925,12,107.27999878,0.5500000119,0,54.509998322,0.0700000003,21.370000839,6.6900000572,68.910003662,54.599998474,\N
1926,4,1926,1,110.98999786,4.2300000191,0.0399999991,54.520000458,0.7699999809,17.870000839,3.5999999046,62.61000061,55.810001373,\N
1926,5,1926,2,132.83999634,22.559999466,15.350000381,68.25,0,18.379999161,6.1799998283,126.75,68.290000916,\N
1926,6,1926,3,93.589996338,0,0,54.270000458,50.380001068,25.319999695,5.2199997902,14.840000153,104.66999817,\N
1926,7,1926,4,125.38999939,20.649999619,13.020000458,133.75,0.5,25.260000229,11.229999542,196.88000488,134.27000427,\N
1926,8,1926,5,92.940002441,0,0,39.569999695,118.95999908,23.079999924,9.5399999619,6.9400000572,158.52999878,\N
1926,9,1926,6,92.940002441,0,0,0.4399999976,165.58000183,21.399999619,11.159999847,0.4300000072,165.97999573,\N
1926,10,1926,7,92.940002441,0,0,0.0599999987,177.53999329,19.11000061,11.539999962,0.0599999987,177.55999756,\N
1926,11,1926,8,92.940002441,0,0,0.0700000003,166.69000244,23.719999313,13.319999695,0.0700000003,166.69999695,\N
1926,12,1926,9,92.940002441,0,0,0.7300000191,126.69000244,24.940000534,9.8199996948,0.7099999785,127.37999725,\N
1927,1,1926,10,92.940002441,0,0,9.5,92.63999939,26.86000061,9.7600002289,9.4499998093,102.08000183,\N
1927,2,1926,11,141.83000183,24.299999237,7.3800001144,69.11000061,0,23.25,8.0900001526,148.66000366,69.069999695,\N
1927,3,1926,12,143.74000549,15.739999771,0.4399999976,50.060001373,0,16.950000763,4.4699997902,67.900001526,50.599998474,\N
1927,4,1927,1,132.41000366,0.2800000012,0,53.86000061,0.0900000036,19.61000061,4.3099999428,42.849998474,54.240001678,\N
1927,5,1927,2,163.80999756,65.839996338,122.58000183,65.059997559,0,19.719999313,7.4400000572,281.69000244,65.190002441,\N
1927,6,1927,3,139.91000366,0.9399999976,0.0399999991,95.760002136,1.3300000429,26.340000153,8.7399997711,72.419998169,97.5,\N
